tanggal,nama_kecamatan,positif
2020-05-08,CIPAYUNG,50
2020-05-09,CIPAYUNG,51
2020-05-10,CIPAYUNG,51
2020-05-11,CIPAYUNG,57
2020-05-12,CIPAYUNG,56
2020-05-13,CIPAYUNG,59
2020-05-14,CIPAYUNG,59
2020-05-15,CIPAYUNG,59
2020-05-16,CIPAYUNG,62
2020-05-17,CIPAYUNG,62
2020-05-18,CIPAYUNG,62
2020-05-19,CIPAYUNG,64
2020-05-20,CIPAYUNG,66
2020-05-21,CIPAYUNG,67
2020-05-22,CIPAYUNG,67
2020-05-23,CIPAYUNG,69
2020-05-24,CIPAYUNG,69
2020-05-25,CIPAYUNG,69
2020-05-26,CIPAYUNG,69
2020-05-27,CIPAYUNG,69
2020-05-28,CIPAYUNG,69
2020-05-29,CIPAYUNG,69
2020-05-30,CIPAYUNG,69
2020-05-31,CIPAYUNG,69
2020-06-01,CIPAYUNG,69
2020-06-02,CIPAYUNG,69
2020-06-03,CIPAYUNG,70
2020-06-04,CIPAYUNG,71
2020-06-05,CIPAYUNG,71
2020-06-06,CIPAYUNG,71
2020-06-07,CIPAYUNG,71
2020-06-08,CIPAYUNG,71
2020-06-09,CIPAYUNG,72
2020-06-10,CIPAYUNG,73
2020-06-11,CIPAYUNG,74
2020-06-12,CIPAYUNG,74
2020-06-13,CIPAYUNG,74
2020-06-14,CIPAYUNG,74
2020-06-15,CIPAYUNG,74
2020-06-16,CIPAYUNG,74
2020-06-17,CIPAYUNG,78
2020-06-18,CIPAYUNG,81
2020-06-19,CIPAYUNG,83
2020-06-20,CIPAYUNG,87
2020-06-21,CIPAYUNG,87
2020-06-22,CIPAYUNG,88
2020-06-23,CIPAYUNG,88
2020-06-24,CIPAYUNG,89
2020-06-25,CIPAYUNG,87
2020-06-26,CIPAYUNG,91
2020-06-27,CIPAYUNG,101
2020-06-28,CIPAYUNG,101
2020-06-29,CIPAYUNG,102
2020-06-30,CIPAYUNG,105
2020-07-01,CIPAYUNG,105
2020-07-02,CIPAYUNG,108
2020-07-03,CIPAYUNG,112
2020-07-04,CIPAYUNG,112
2020-07-05,CIPAYUNG,113
2020-07-06,CIPAYUNG,114
2020-07-07,CIPAYUNG,117
2020-07-08,CIPAYUNG,118
2020-07-09,CIPAYUNG,121
2020-07-10,CIPAYUNG,124
2020-07-11,CIPAYUNG,124
2020-07-12,CIPAYUNG,130
2020-07-13,CIPAYUNG,124
2020-07-14,CIPAYUNG,129
2020-07-15,CIPAYUNG,140
2020-07-16,CIPAYUNG,144
2020-07-17,CIPAYUNG,150
2020-07-18,CIPAYUNG,156
2020-07-19,CIPAYUNG,156
2020-07-20,CIPAYUNG,156
2020-07-21,CIPAYUNG,163
2020-07-22,CIPAYUNG,166
2020-07-23,CIPAYUNG,168
2020-07-24,CIPAYUNG,175
2020-07-25,CIPAYUNG,192
2020-07-26,CIPAYUNG,192
2020-07-27,CIPAYUNG,203
2020-07-28,CIPAYUNG,201
2020-07-29,CIPAYUNG,222
2020-07-30,CIPAYUNG,227
2020-07-31,CIPAYUNG,222
2020-08-01,CIPAYUNG,225
2020-08-02,CIPAYUNG,229
2020-08-03,CIPAYUNG,233
2020-08-04,CIPAYUNG,237
2020-08-05,CIPAYUNG,241
2020-08-06,CIPAYUNG,245
2020-08-07,CIPAYUNG,250
2020-08-08,CIPAYUNG,255
2020-08-09,CIPAYUNG,260
2020-08-10,CIPAYUNG,266
2020-08-11,CIPAYUNG,271
2020-08-12,CIPAYUNG,277
2020-08-13,CIPAYUNG,283
2020-08-14,CIPAYUNG,289
2020-08-15,CIPAYUNG,295
2020-08-16,CIPAYUNG,301
2020-08-17,CIPAYUNG,308
2020-08-18,CIPAYUNG,315
2020-08-19,CIPAYUNG,322
2020-08-20,CIPAYUNG,329
2020-08-21,CIPAYUNG,336
2020-08-22,CIPAYUNG,343
2020-08-23,CIPAYUNG,351
2020-08-24,CIPAYUNG,359
2020-08-25,CIPAYUNG,366
2020-08-26,CIPAYUNG,375
2020-08-27,CIPAYUNG,383
2020-08-28,CIPAYUNG,391
2020-08-29,CIPAYUNG,399
2020-08-30,CIPAYUNG,408
2020-08-31,CIPAYUNG,417
2020-09-01,CIPAYUNG,426
2020-09-02,CIPAYUNG,436
2020-09-03,CIPAYUNG,441
2020-09-04,CIPAYUNG,457
2020-09-05,CIPAYUNG,473
2020-09-06,CIPAYUNG,479
2020-09-07,CIPAYUNG,495
2020-09-08,CIPAYUNG,502
2020-09-09,CIPAYUNG,518
2020-09-10,CIPAYUNG,535
2020-09-11,CIPAYUNG,554
