id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,307,3,304,0,90,9,81,0,29,2,13,1,13,
3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,422,2,419,1,78,1,77,0,35,3,18,1,13,
3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,598,3,595,0,84,1,78,5,108,10,22,9,67,
3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,287,3,283,1,54,4,47,3,16,1,8,0,7,
3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,213,2,210,1,37,5,29,3,28,5,12,1,10,
3174021006,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,342,0,341,1,20,0,18,2,27,2,9,2,14,
3175071007,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,138,0,138,0,22,0,21,1,26,0,13,4,9,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,230,2,228,0,12,0,12,0,39,4,16,1,18,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,272,3,269,0,29,3,26,0,53,13,19,7,14,
3174101001,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,228,1,227,0,46,11,31,4,13,3,6,3,1,
3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,108,1,107,0,16,1,13,2,7,0,4,2,1,
3174101004,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,323,1,322,0,26,5,20,1,8,0,3,1,4,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,177,1,175,1,22,1,19,2,19,4,8,1,6,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,149,0,148,1,30,2,28,0,7,1,2,4,0,
3174031003,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,435,5,430,0,39,10,27,2,16,1,7,3,5,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,221,0,220,1,34,1,33,0,17,2,9,0,6,
3174101003,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,438,0,438,0,26,0,23,3,29,3,15,2,9,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,296,2,294,0,48,1,43,4,57,11,15,2,29,
3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,331,1,329,1,18,1,16,1,78,5,19,2,52,
3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,217,3,214,0,38,0,38,0,17,2,8,1,6,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,339,1,338,0,35,2,32,1,14,3,8,2,1,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,170,2,168,0,30,1,28,1,14,0,7,2,5,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,311,3,307,1,44,2,27,15,32,2,16,6,8,
3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,157,0,156,1,55,3,51,1,22,2,15,2,3,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,179,1,178,0,50,4,46,0,12,3,5,1,3,
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,402,5,397,0,76,2,72,2,17,3,10,2,2,
3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,213,1,212,0,28,2,25,1,37,3,18,5,11,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,107,1,106,0,10,0,8,2,51,7,13,7,24,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,28,0,28,0,15,0,14,1,5,0,2,2,1,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,155,1,154,0,20,1,18,1,30,5,19,1,5,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,142,0,142,0,32,4,25,3,33,3,15,1,14,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,206,4,202,0,22,0,20,2,17,2,10,0,5,
3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,148,5,143,0,25,0,20,5,27,3,17,0,7,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,328,6,321,1,31,6,21,4,47,5,26,0,16,
3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,192,0,192,0,27,1,26,0,17,2,11,3,1,
3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,180,1,178,1,39,8,30,1,22,4,10,2,6,
3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,157,0,157,0,23,3,19,1,18,4,6,2,6,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,246,0,244,2,41,4,36,1,39,14,11,2,12,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,51,0,51,0,2,0,1,1,8,0,5,1,2,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,140,3,136,1,14,0,13,1,21,3,11,3,4,
3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,366,4,362,0,34,2,30,2,40,7,24,2,7,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,205,0,205,0,26,1,25,0,8,1,6,0,1,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,142,0,142,0,46,2,44,0,21,2,12,0,7,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,138,1,137,0,48,5,42,1,22,1,9,3,9,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,114,1,113,0,35,2,32,1,12,0,9,2,1,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,205,0,204,1,14,0,14,0,22,6,12,2,2,
3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,151,1,150,0,28,2,24,2,18,1,17,0,0,
3171011003,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,171,0,171,0,23,4,16,3,27,1,16,2,8,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,31,1,30,0,14,0,13,1,6,1,4,1,0,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,43,0,43,0,8,0,7,1,14,2,9,2,1,
3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,129,1,128,0,31,0,30,1,12,0,6,1,5,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,101,1,99,1,30,1,29,0,19,1,13,4,1,
3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,274,2,272,0,27,1,25,1,44,5,8,1,30,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,149,0,149,0,12,0,12,0,18,2,14,0,2,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,196,1,195,0,40,7,33,0,20,0,16,3,1,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,292,1,291,0,17,2,13,2,16,4,6,1,5,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,269,0,269,0,35,0,33,2,34,8,10,0,16,
3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,217,0,217,0,43,3,39,1,22,6,11,0,5,
3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,234,0,234,0,32,2,30,0,25,5,8,0,12,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,292,1,291,0,39,3,32,4,32,5,15,2,10,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,144,3,141,0,22,0,21,1,16,2,13,0,1,
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,65,2,63,0,12,0,11,1,9,0,6,1,2,
3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,335,2,333,0,32,0,31,1,67,4,20,2,41,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,245,0,244,1,18,0,17,1,21,5,5,0,11,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,170,2,168,0,17,1,15,1,12,2,7,1,2,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,346,3,342,1,59,6,52,1,74,4,56,6,8,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,305,0,304,1,15,2,13,0,122,8,6,1,107,
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,291,1,289,1,22,1,21,0,32,5,16,0,11,
3173081003,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,125,0,125,0,20,2,17,1,27,2,12,2,11,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,233,2,231,0,43,0,42,1,38,2,18,0,18,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,229,0,229,0,44,2,41,1,28,1,13,1,13,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,403,0,403,0,23,2,21,0,36,4,26,1,5,
