id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,150,7,5,2,136,0,0,0,0,7,0,7,523,21,502,61,0,61,107,7,81,7,12,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,133,3,1,3,126,0,0,0,0,3,0,3,322,16,306,8,0,8,47,3,27,1,16,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,50,6,2,3,39,0,0,0,0,0,0,0,106,5,101,6,0,6,26,1,17,2,6,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,36,5,0,1,30,0,0,0,0,1,0,1,47,1,46,3,0,3,15,2,10,0,3,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,77,2,5,2,68,0,0,0,0,1,0,1,76,5,71,1,0,1,21,0,16,3,2,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,46,4,1,0,41,0,0,0,0,2,0,2,165,19,146,42,0,42,41,2,18,5,16,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,28,0,0,0,28,0,0,0,0,17,0,17,100,5,95,6,0,6,11,1,9,0,1,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,68,3,11,0,54,1,0,0,1,20,0,20,145,54,91,0,0,0,16,0,8,1,7,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,101,8,1,1,91,0,0,0,0,1,0,1,271,41,230,0,0,0,29,2,18,1,8,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,259,35,0,0,224,0,0,0,0,0,0,0,106,10,96,17,0,17,59,7,44,0,8,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,30,0,0,1,29,0,0,0,0,5,0,5,55,1,54,0,0,0,13,0,12,1,0,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,35,1,4,0,30,0,0,0,0,0,0,0,50,2,48,0,0,0,5,0,2,1,2,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,18,0,0,1,17,0,0,0,0,4,0,4,60,20,40,7,0,7,20,1,16,2,1,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,111,3,1,4,103,0,0,0,0,39,0,39,372,11,361,30,0,30,48,1,34,0,13,
