id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,117,7,2,4,104,0,0,0,39,0,39,390,21,369,30,0,30,51,2,35,0,14,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,96,3,3,4,86,1,1,0,11,0,11,346,24,322,3,0,3,48,4,38,5,1,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,141,3,3,4,131,0,0,0,24,1,23,347,21,326,12,0,12,92,4,65,2,21,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,19,0,3,0,16,0,0,0,0,0,0,54,7,47,1,0,1,6,1,5,0,0,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,44,1,0,3,40,0,0,0,7,0,7,166,38,128,0,0,0,14,1,10,1,2,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,120,4,1,1,114,0,0,0,2,0,2,162,8,154,1,0,1,21,1,14,2,4,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,98,6,0,1,91,0,0,0,3,2,1,141,4,137,4,0,4,32,2,25,4,1,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,54,1,2,2,49,0,0,0,2,0,2,127,38,89,7,0,7,51,8,31,3,9,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,139,7,4,3,125,0,0,0,5,1,4,172,18,154,25,0,25,71,4,41,5,21,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,302,3,28,2,269,1,0,1,5,0,5,279,27,252,9,0,9,57,4,45,1,7,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,87,9,1,1,76,0,0,0,4,0,4,320,102,218,21,0,21,60,1,39,0,20,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,134,8,4,2,120,0,0,0,2,0,2,268,60,208,12,0,12,32,2,25,3,2,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,184,8,9,4,163,0,0,0,3,1,2,328,23,305,58,0,58,86,1,73,2,10,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,135,9,0,3,123,0,0,0,2,0,2,349,64,285,30,0,30,58,0,36,4,18,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,19,0,2,0,17,0,0,0,3,0,3,97,16,81,4,0,4,9,2,5,0,2,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,100,5,3,5,87,0,0,0,22,0,22,383,33,350,6,0,6,49,1,34,4,10,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,148,2,7,2,137,0,0,0,4,0,4,372,106,266,16,0,16,28,1,25,2,0,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,285,12,37,1,235,0,0,0,3,3,0,307,81,226,7,0,7,109,0,84,5,20,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,72,2,3,0,67,0,0,0,0,0,0,92,3,89,1,0,1,16,3,10,0,3,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,94,2,3,4,85,0,0,0,4,1,3,193,14,179,12,0,12,40,2,35,1,2,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,214,5,1,3,205,0,0,0,3,0,3,660,31,629,90,0,90,120,4,85,6,25,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,120,9,9,0,102,0,0,0,3,0,3,187,27,160,8,0,8,41,5,19,2,15,
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,118,12,3,5,98,0,0,0,1,0,1,209,59,150,28,0,28,53,11,35,4,3,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,190,10,3,3,174,0,0,0,8,2,6,264,18,246,9,0,9,59,4,41,1,13,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,386,6,37,4,339,0,0,0,5,0,5,1237,184,1053,25,0,25,80,4,57,4,15,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,181,2,7,0,172,0,0,0,1,0,1,132,26,106,7,0,7,46,3,31,2,10,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,147,2,15,3,127,0,0,0,0,0,0,291,30,261,1,0,1,10,2,4,2,2,
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,14,0,0,0,14,0,0,0,4,0,4,45,17,28,0,0,0,17,1,15,1,0,
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,75,4,10,2,59,0,0,0,2,1,1,99,0,99,0,0,0,19,0,15,1,3,
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,42,2,0,4,36,0,0,0,3,0,3,68,9,59,4,0,4,74,2,41,3,28,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,114,10,1,0,103,1,0,1,0,0,0,281,8,273,61,0,61,92,3,66,9,14,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,223,15,16,1,191,0,0,0,7,0,7,552,112,440,48,0,48,104,1,78,8,17,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,162,7,8,16,131,0,0,0,5,1,4,485,125,360,10,0,10,61,6,33,6,16,
3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,56,2,1,0,53,0,0,0,9,2,7,146,43,103,16,0,16,34,10,17,3,4,
3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,229,16,5,4,204,1,1,0,3,0,3,411,15,396,8,0,8,55,2,42,5,6,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,52,1,0,0,51,0,0,0,8,0,8,139,4,135,4,0,4,21,1,20,0,0,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,80,1,1,1,77,0,0,0,20,0,20,191,5,186,4,0,4,24,2,16,2,4,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,39,0,0,1,38,0,0,0,3,0,3,41,3,38,0,0,0,8,0,3,2,3,
3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,105,5,22,0,78,0,0,0,7,0,7,132,6,126,0,0,0,18,1,13,1,3,
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,167,8,1,1,157,0,0,0,0,0,0,277,12,265,14,0,14,55,2,45,1,7,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,114,4,0,0,110,1,0,1,0,0,0,284,12,272,18,0,18,47,1,39,2,5,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,168,11,1,4,152,0,0,0,10,0,10,438,96,342,21,0,21,88,6,56,5,21,
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,77,1,24,0,52,0,0,0,2,2,0,139,30,109,7,0,7,19,3,6,0,10,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,133,7,6,1,119,0,0,0,0,0,0,187,41,146,10,0,10,42,7,28,0,7,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,146,6,4,0,136,1,0,1,1,0,1,480,66,414,8,0,8,36,2,27,3,4,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,114,2,1,1,110,0,0,0,15,0,15,264,30,234,2,0,2,36,1,31,2,2,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,88,2,4,2,80,0,0,0,15,0,15,280,18,262,13,0,13,38,1,35,0,2,
