id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,32,2,0,1,29,0,0,0,0,1,0,1,45,1,44,3,17,3,8,0,6,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,73,1,4,2,66,0,0,0,0,1,0,1,69,8,61,1,20,0,14,3,3,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,42,3,0,0,39,0,0,0,0,2,0,2,144,15,129,45,38,1,6,4,27,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,28,1,0,0,27,0,0,0,0,17,0,17,97,0,97,6,11,1,8,0,2,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,56,0,1,0,55,1,0,0,1,20,0,20,93,5,88,0,16,0,6,1,9,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,93,3,0,1,89,0,0,0,0,1,0,1,227,5,222,0,26,0,17,1,8,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,226,7,0,0,219,0,0,0,0,0,0,0,95,8,87,17,57,3,39,0,15,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,30,0,1,1,28,0,0,0,0,5,0,5,50,0,50,0,23,0,11,1,11,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,31,0,1,0,30,0,0,0,0,0,0,0,47,16,31,0,4,0,2,1,1,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,17,0,0,1,16,0,0,0,0,4,0,4,39,3,36,7,20,1,16,2,1,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,101,0,0,3,98,0,0,0,0,39,0,39,363,9,354,37,48,1,32,0,15,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,86,3,0,3,80,1,0,1,0,11,2,9,290,47,243,3,44,3,29,4,8,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,137,2,2,5,128,0,0,0,0,23,1,22,318,10,308,13,87,0,47,2,38,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,15,0,0,0,15,0,0,0,0,0,0,0,43,0,43,1,6,1,5,0,0,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,39,0,0,3,36,0,0,0,0,7,0,7,119,1,118,0,12,0,9,1,2,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,111,2,0,1,108,0,0,0,0,2,0,2,150,2,148,1,18,0,13,2,3,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,89,3,0,1,85,0,0,0,0,1,0,1,132,16,116,4,28,0,14,4,10,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,46,1,1,2,42,0,0,0,0,2,0,2,85,20,65,8,39,1,29,3,6,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,112,2,1,2,107,0,0,0,0,3,0,3,145,10,135,25,58,2,31,3,22,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,261,6,2,1,252,1,0,0,1,5,0,5,246,18,228,8,54,4,32,2,16,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,72,1,1,1,69,0,0,0,0,4,0,4,219,29,190,18,44,0,32,0,12,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,121,2,2,2,115,0,0,0,0,2,0,2,147,27,120,12,28,1,18,3,6,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,163,1,0,4,158,0,0,0,0,2,0,2,309,91,218,59,78,1,56,2,19,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,121,4,1,3,113,0,0,0,0,2,0,2,286,21,265,30,48,3,31,3,11,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,15,0,0,0,15,0,0,0,0,3,0,3,82,5,77,3,6,1,3,0,2,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,92,3,1,5,83,0,0,0,0,22,4,18,345,48,297,6,40,2,30,4,4,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,141,0,0,2,139,0,0,0,0,4,0,4,262,24,238,14,27,0,16,2,9,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,230,5,25,1,199,0,0,0,0,0,0,0,194,37,157,7,94,4,68,4,18,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,60,1,0,0,59,0,0,0,0,0,0,0,85,8,77,1,10,0,7,0,3,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,87,1,0,3,83,0,0,0,0,3,0,3,128,18,110,12,36,2,32,1,1,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,190,2,0,3,185,0,0,0,0,3,0,3,602,21,581,94,102,5,44,5,48,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,109,10,2,0,97,0,0,0,0,3,1,2,163,14,149,8,30,2,11,2,15,
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,91,6,3,5,77,0,0,0,0,1,0,1,143,20,123,28,41,7,28,4,2,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,140,3,0,3,134,0,0,0,0,5,0,5,206,10,196,9,48,1,30,1,16,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,343,4,10,4,325,0,0,0,0,6,1,5,1033,283,750,26,62,6,46,4,6,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,152,2,0,0,150,0,0,0,0,1,0,1,103,6,97,6,37,0,26,2,9,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,127,0,1,3,123,0,0,0,0,0,0,0,266,29,237,1,7,1,3,2,1,
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,14,0,0,0,14,0,0,0,0,4,0,4,24,1,23,0,16,1,14,1,0,
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,56,0,0,2,54,0,0,0,0,1,0,1,98,0,98,0,18,0,15,1,2,
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,34,0,0,4,30,0,0,0,0,3,0,3,58,3,55,3,56,2,35,1,18,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,93,1,0,0,92,1,0,0,1,0,0,0,249,6,243,64,80,3,45,7,25,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,185,5,0,1,179,0,0,0,0,7,0,7,433,44,389,48,100,4,72,8,16,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,135,1,5,16,113,0,0,0,0,3,1,2,316,18,298,8,43,3,29,6,5,
3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,49,0,0,0,49,0,0,0,0,7,0,7,86,5,81,16,22,3,15,3,1,
3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,209,12,3,4,190,1,0,1,0,3,1,2,387,16,371,10,50,4,27,5,14,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,50,2,0,0,48,0,0,0,0,8,0,8,132,4,128,4,20,0,18,0,2,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,69,4,0,1,64,0,0,0,0,16,0,16,131,8,123,4,22,0,14,2,6,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,39,0,0,1,38,0,0,0,0,3,0,3,34,1,33,0,7,0,3,2,2,
