id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,96,4,0,0,92,1,0,0,1,0,0,0,259,8,251,60,84,2,50,7,25,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,192,6,1,1,184,0,0,0,0,7,0,7,443,49,394,48,101,1,75,8,17,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,142,4,7,16,115,0,0,0,0,3,0,3,337,26,311,8,48,2,31,6,9,
3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,52,3,0,0,49,0,0,0,0,7,0,7,95,10,85,16,25,3,16,3,3,
3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,211,14,3,4,190,1,0,1,0,3,1,2,397,22,375,8,52,1,36,5,10,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,50,2,0,0,48,0,0,0,0,8,0,8,132,2,130,4,21,1,18,0,2,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,78,3,0,1,74,0,0,0,0,16,0,16,136,10,126,4,23,1,14,2,6,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,39,0,0,1,38,0,0,0,0,3,0,3,40,6,34,0,8,0,3,2,3,
3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,72,6,1,0,65,0,0,0,0,7,0,7,127,2,125,0,15,1,12,1,1,
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,159,6,1,1,151,0,0,0,0,0,0,0,260,25,235,14,52,2,40,1,9,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,102,1,1,0,100,1,0,0,1,0,0,0,274,14,260,17,46,1,34,2,9,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,154,5,0,4,145,0,0,0,0,10,0,10,357,42,315,21,70,2,48,5,15,
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,52,3,6,0,43,0,0,0,0,0,0,0,106,11,95,6,9,2,4,0,3,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,119,7,1,1,110,0,0,0,0,0,0,0,148,25,123,10,32,4,25,0,3,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,139,4,3,0,132,1,0,0,1,1,0,1,405,19,386,8,33,1,18,3,11,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,107,3,0,1,103,0,0,0,0,15,0,15,229,14,215,2,35,1,26,2,6,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,82,3,1,2,76,0,0,0,0,15,0,15,264,13,251,11,37,1,34,0,2,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,153,9,4,1,139,0,0,0,0,10,3,7,309,26,283,46,71,4,49,1,17,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,204,5,2,4,193,0,0,0,0,9,0,9,681,18,663,45,90,3,66,8,13,
3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,233,1,11,1,220,0,0,0,0,0,0,0,269,7,262,3,110,1,90,9,10,
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,59,3,1,1,54,0,0,0,0,1,0,1,70,5,65,0,9,0,8,1,0,
